id_ticket,status_ticket,prioridade,origem_ticket,topico,analista_responsavel,data_abertura,sla_previsto_resolucao,tempo_primeira_resposta,tempo_resolucao,data_fechamento,tempo_resolucao_horas
1012,Closed,Low,Email,Feature request,Kristos Westoll,2023-01-02 00:58:36,2023-01-04 00:58:36,2023-01-02 01:03:17.432,2023-01-04 00:31:51.694,2023-01-04 04:02:59.013,51.07305916666667
1013,In progress,High,Phone,Product setup,Adolpho Messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:27:43.231,,,
1014,Resolved,Low,Chat,Purchasing and invoicing,Bernard Beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 06:59:57.471,2023-01-02 22:45:32.974,,
1015,Closed,Medium,Email,Pricing and licensing,Connor Danielovitch,2023-01-03 03:09:39,2023-01-05 03:09:39,2023-01-03 07:09:15.835,2023-01-04 14:32:34.979,2023-01-08 04:24:54.771,121.25438083333333
1016,Closed,Low,Email,Product setup,Kristos Westoll,2023-01-03 00:03:58,2023-01-05 00:03:58,2023-01-03 00:08:01.684,2023-01-04 12:03:05.986,2023-01-06 06:05:08.637,78.01962138888888
1017,Closed,Low,Email,Purchasing and invoicing,Sheela Cutten,2023-01-03 14:25:42,2023-01-05 14:25:42,2023-01-03 14:45:14.430,2023-01-04 01:55:56.533,2023-01-10 16:41:07.865,170.2571847222222
1018,Closed,Low,Phone,Product setup,Kristos Westoll,2023-01-03 15:32:02,2023-01-05 15:32:02,2023-01-03 15:34:00.278,2023-01-05 03:51:37.031,2023-01-07 21:52:35.202,102.34255611111111
1019,Resolved,Medium,Chat,Pricing and licensing,Michele Whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:39:30.256,2023-01-05 12:47:55.793,,
1020,Resolved,Medium,Chat,Product setup,Kristos Westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:41:55.452,2023-01-03 20:31:37.896,,
1021,Closed,Low,Email,Product setup,Bernard Beckley,2023-01-03 09:27:35,2023-01-05 09:27:35,2023-01-03 10:24:48.183,2023-01-04 10:16:32.492,2023-01-07 20:25:29.487,106.96513527777779
1024,Closed,Medium,Chat,Other,Bernard Beckley,2023-01-03 16:41:11,2023-01-04 16:41:11,2023-01-03 16:43:40.942,2023-01-03 23:52:18.292,2023-01-06 00:38:58.704,55.96325111111111
1025,Closed,Low,Chat,Bug report,Sheela Cutten,2023-01-03 04:50:04,2023-01-04 04:50:04,2023-01-03 04:50:05.187,2023-01-07 13:17:12.368,2023-01-09 05:37:59.166,144.79865722222223
1026,Closed,Low,Chat,Bug report,Nicola Wane,2023-01-04 10:49:27,2023-01-05 10:49:27,2023-01-04 10:50:41.566,2023-01-04 23:37:37.290,2023-01-05 12:53:53.016,26.073893333333334
1027,Resolved,Low,Chat,Training request,Bernard Beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:28:51.784,2023-01-05 04:41:40.506,,
1028,Resolved,Low,Chat,Bug report,Kristos Westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:46:51.236,2023-01-05 13:28:20.309,,
1029,Closed,Medium,Chat,Feature request,Bernard Beckley,2023-01-04 09:12:41,2023-01-05 09:12:41,2023-01-04 09:13:35.162,2023-01-05 07:45:18.346,2023-01-06 23:18:19.761,62.09410027777778
1030,Closed,Medium,Chat,Feature request,Connor Danielovitch,2023-01-04 19:36:58,2023-01-05 19:36:58,2023-01-04 19:37:55.723,2023-01-05 02:24:20.008,2023-01-11 06:16:49.063,154.66418416666664
1031,In progress,Low,Email,Feature request,Kristos Westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 18:13:04.107,,,
1032,Resolved,Low,Email,Product setup,Heather Urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:20:44.142,2023-01-05 07:54:03.448,,
1034,In progress,Low,Chat,Other,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:07:35.320,,,
1035,In progress,High,Email,Training request,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:07:00.171,,,
1037,Resolved,Low,Email,Product setup,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 12:34:20.255,2023-01-07 11:23:15.054,,
1038,Closed,High,Chat,Other,Bernard Beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:19:42.046,2023-01-05 19:22:17.161,2023-01-12 18:08:53.602,181.832945
1039,Resolved,Medium,Chat,Purchasing and invoicing,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:00.531,2023-01-05 07:37:10.835,,
1040,In progress,High,Chat,Bug report,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:31:02.365,,,
1041,Closed,Low,Chat,Product setup,Bernard Beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:04:27.475,2023-01-05 21:50:51.227,2023-01-06 11:37:32.085,32.62724583333333
1043,Closed,High,Email,Pricing and licensing,Connor Danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:02:04.982,2023-01-06 17:14:14.261,2023-01-09 18:40:33.584,111.14682888888888
1044,Closed,Low,Chat,Product setup,Kristos Westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:41.330,2023-01-07 00:07:32.803,2023-01-13 23:39:58.864,170.90468444444443
1045,Resolved,Medium,Email,Bug report,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 20:58:29.786,2023-01-08 07:15:33.362,,
1046,Resolved,High,Email,Bug report,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 15:35:55.110,2023-01-07 06:22:47.483,,
1047,In progress,Low,Email,Pricing and licensing,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:07:57.717,,,
1048,In progress,Low,Chat,Pricing and licensing,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:56:15.157,,,
1049,Closed,Medium,Chat,Pricing and licensing,Sheela Cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:06:37.265,2023-01-11 05:34:05.275,2023-01-11 20:40:58.211,128.59950305555554
1050,Closed,Low,Email,Product setup,Nicola Wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 01:33:11.308,2023-01-12 02:26:01.957,2023-01-14 00:42:18.528,167.47403555555556
1054,Closed,High,Email,Purchasing and invoicing,Michele Whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:09:50.229,2023-01-08 08:30:22.633,2023-01-14 16:18:51.456,178.83262666666667
1055,Closed,High,Email,Bug report,Connor Danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:04:58.137,2023-01-09 13:07:23.232,2023-01-12 22:16:01.046,124.112235
1056,Resolved,Low,Email,Bug report,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 00:19:13.578,2023-01-08 13:56:19.524,,
1057,Closed,Medium,Email,Feature request,Bernard Beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:35:51.009,2023-01-09 01:35:54.021,2023-01-09 09:28:09.839,47.54884416666667
1058,In progress,Medium,Email,Pricing and licensing,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:36:27.207,,,
1062,In progress,Low,Chat,Pricing and licensing,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:36:35.285,,,
1063,Closed,Low,Phone,Feature request,Kristos Westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 05:01:41.476,2023-01-08 08:51:45.370,2023-01-12 04:26:34.100,95.49697222222221
1064,Closed,High,Chat,Other,Connor Danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 10:59:35.789,2023-01-08 17:42:49.306,2023-01-10 20:07:57.409,57.15983583333334
1065,Closed,Medium,Chat,Product setup,Sheela Cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:01:24.891,2023-01-08 04:07:23.580,2023-01-10 14:51:41.345,61.86120694444445
1066,Resolved,Medium,Chat,Product setup,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:17:22.391,2023-01-10 06:21:28.868,,
1067,Resolved,Low,Email,Product setup,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 15:37:18.542,2023-01-11 01:02:32.459,,
1068,Closed,Low,Email,Product setup,Kristos Westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 14:48:04.246,2023-01-10 19:32:16.928,2023-01-10 23:22:09.144,33.19920666666667
1069,Closed,Medium,Email,Pricing and licensing,Heather Urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 17:57:41.562,2023-01-10 12:39:05.914,2023-01-15 09:04:12.484,135.64513444444444
1070,Resolved,High,Email,Pricing and licensing,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:32:12.017,2023-01-15 17:10:06.485,,
1071,Closed,Medium,Email,Training request,Michele Whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:16:08.154,2023-01-10 16:04:07.277,2023-01-12 10:45:03.468,70.81457444444445
1072,Closed,High,Email,Feature request,Sheela Cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 20:29:39.010,2023-01-09 20:44:54.124,2023-01-12 00:24:18.715,52.16325416666667
1073,Closed,Medium,Email,Pricing and licensing,Kristos Westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 09:17:01.493,2023-01-09 21:58:19.008,2023-01-11 01:48:08.451,40.6248475
1074,Closed,Low,Chat,Pricing and licensing,Nicola Wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:54:53.804,2023-01-09 22:42:49.505,2023-01-13 01:00:44.792,90.17910888888889
1075,Closed,High,Email,Product setup,Kristos Westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-10 00:25:12.140,2023-01-11 09:54:57.984,2023-01-16 14:36:36.530,160.77625833333335
1076,Closed,Low,Phone,Product setup,Bernard Beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:55:31.714,2023-01-10 22:20:44.266,2023-01-12 19:40:46.559,88.75654416666667
1077,Resolved,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 02:35:28.295,2023-01-11 21:39:27.481,,
1078,Closed,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-10 13:46:53,2023-01-12 13:46:53,2023-01-10 13:50:11.579,2023-01-12 06:52:28.486,2023-01-16 01:36:05.298,131.82008277777777
1079,Resolved,Low,Email,Product setup,Kristos Westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:30:03.208,2023-01-12 01:12:10.641,,
1080,Closed,Low,Chat,Product setup,Kristos Westoll,2023-01-10 03:17:26,2023-01-11 03:17:26,2023-01-10 03:17:37.264,2023-01-10 13:22:15.933,2023-01-11 12:32:23.705,33.249362500000004
1081,In progress,Medium,Chat,Product setup,Bernard Beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:29:36.431,,,
1082,Closed,Low,Phone,Product setup,Connor Danielovitch,2023-01-10 20:59:34,2023-01-12 20:59:34,2023-01-10 21:00:37.516,2023-01-12 17:31:37.329,2023-01-12 14:16:45.427,41.2865075
1083,Resolved,Low,Phone,Pricing and licensing,Sheela Cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:31:12.529,2023-01-12 00:58:23.880,,
1084,Resolved,Medium,Email,Other,Connor Danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:06:44.788,2023-01-11 20:40:17.303,,
1085,Closed,High,Chat,Product setup,Bernard Beckley,2023-01-10 07:30:22,2023-01-11 07:30:22,2023-01-10 07:31:47.767,2023-01-10 10:50:31.437,2023-01-14 06:35:29.874,95.08552055555556
1086,Resolved,Medium,Email,Purchasing and invoicing,Nicola Wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 17:44:04.661,2023-01-12 07:22:02.841,,
1087,Closed,Low,Email,Feature request,Adolpho Messingham,2023-01-11 19:17:35,2023-01-13 19:17:35,2023-01-11 19:18:54.285,2023-01-11 20:05:34.343,2023-01-15 01:15:04.648,77.95823555555555
